"date","count"
2017-12-29,34
2017-12-30,64
2017-12-31,73
2018-01-01,74
2018-01-02,45
2018-01-03,79
2018-01-04,57
2018-01-05,91
2018-01-06,69
2018-01-07,69
2018-01-08,100
2018-01-09,42
2018-01-10,22
2018-01-11,11
2018-01-12,33
2018-01-13,40
2018-01-14,86
2018-01-15,66
2018-01-16,34
2018-01-17,64
2018-01-18,58
2018-01-19,55
2018-01-20,63
2018-01-21,38
2018-01-22,79
2018-01-23,29
2018-01-24,77
2018-01-25,92
2018-01-26,2
2018-01-27,10
2018-01-28,13
2018-01-29,75
2018-01-30,36
2018-01-31,17
2018-02-01,53
2018-02-02,66
2018-02-03,92
2018-02-04,55
2018-02-05,84
2018-02-06,39
2018-02-07,47
2018-02-08,27
2018-02-09,65
2018-02-10,72
2018-02-11,46
2018-02-12,35
2018-02-13,7
2018-02-14,23
2018-02-15,56
2018-02-16,33
2018-02-17,38
2018-02-18,25
2018-02-19,1
2018-02-20,91
2018-02-21,25
2018-02-22,75
2018-02-23,65
2018-02-24,23
2018-02-25,31
2018-02-26,64
2018-02-27,75
2018-02-28,49
2018-03-01,82
2018-03-02,77
2018-03-03,27
2018-03-04,47
2018-03-05,44
2018-03-06,67
2018-03-07,89
2018-03-08,88
2018-03-09,84
2018-03-10,75
2018-03-11,76
2018-03-12,26
2018-03-13,2
2018-03-14,39
2018-03-15,48
2018-03-16,85
2018-03-17,80
2018-03-18,12
2018-03-19,52
2018-03-20,65
2018-03-21,37
2018-03-22,33
2018-03-23,5
2018-03-24,16
2018-03-25,5
2018-03-26,35
2018-03-27,67
2018-03-28,22
2018-03-29,88
2018-03-30,90
2018-03-31,85
2018-04-01,14
2018-04-02,98
2018-04-03,9
2018-04-04,13
2018-04-05,5
2018-04-06,79
2018-04-07,30
2018-04-08,53
2018-04-09,13
2018-04-10,56
2018-04-11,46
2018-04-12,49
2018-04-13,63
2018-04-14,47
2018-04-15,40
2018-04-16,44
2018-04-17,99
2018-04-18,74
2018-04-19,94
2018-04-20,14
2018-04-21,24
2018-04-22,64
2018-04-23,72
2018-04-24,24
2018-04-25,47
2018-04-26,62
2018-04-27,100
2018-04-28,72
2018-04-29,78
2018-04-30,54
2018-05-01,22
2018-05-02,92
2018-05-03,81
2018-05-04,47
2018-05-05,49
2018-05-06,94
2018-05-07,27
2018-05-08,66
2018-05-09,85
2018-05-10,91
2018-05-11,41
2018-05-12,99
2018-05-13,26
2018-05-14,43
2018-05-15,5
2018-05-16,71
2018-05-17,73
2018-05-18,77
2018-05-19,65
2018-05-20,98
2018-05-21,48
2018-05-22,8
2018-05-23,54
2018-05-24,92
2018-05-25,9
2018-05-26,43
2018-05-27,5
2018-05-28,23
2018-05-29,83
2018-05-30,70
2018-05-31,51
2018-06-01,83
2018-06-02,12
2018-06-03,10
2018-06-04,98
2018-06-05,20
2018-06-06,16
2018-06-07,30
2018-06-08,7
2018-06-09,7
2018-06-10,60
2018-06-11,91
2018-06-12,95
2018-06-13,69
2018-06-14,99
2018-06-15,21
2018-06-16,13
2018-06-17,7
2018-06-18,19
2018-06-19,28
2018-06-20,75
2018-06-21,77
2018-06-22,30
2018-06-23,19
2018-06-24,32
2018-06-25,15
2018-06-26,0
2018-06-27,75
2018-06-28,40
2018-06-29,76
2018-06-30,69
